x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x49 x50 x51 x52 x53 x54 x55 x56 x57 x58 x59 x60 x61 x62 x63 x64 x65 x66 x67 x68 x69 x70 x71 x72 x73 x74 x75 x76 x77 x78 x79 x80 x81 x82 x83 x84 x85 x86 x87 x88 x89 x90 x91 x92 x93 x94 x95 x96 x97 x98 x99 x100 x101 x102 x103 x104 x105 x106 x107 x108 x109 x110 x111 x112 x113 x114 x115 x116 x117 x118 x119 x120 x121 x122 x123 x124 x125 x126 x127 x128 x129 x130 x131 x132 x133 x134 x135 x136 x137 x138 x139 x140 x141 x142 x143 x144 x145 x146 x147 x148 x149 x150 x151 x152 x153 x154 x155 x156 x157 x158 x159 x160 x161 x162 x163 x164 x165 x166 x167 x168 x169 x170 x171 x172 x173 x174 x175 x176 x177 x178 x179 x180 x181 x182 x183 x184 x185 x186 x187 x188 x189 x190 x191 result
1020421 1066209 1108035 1171737 1311931 1389005 1484193 1576718 1670121 1843884 1981689 2044071 2068114 2098933 2081065 2029806 1963534 1897123 1864474 1836906 1780323 1721173 1631924 1572761 1596575 1682801 1818215 1969892 2120281 2154547 2047936 1849016 1393148 861355.4 412165.5 242741.4 454769.3 597418.7 534710.5 355926.7 185018.7 170979.9 186119.6 200552.6 316236.1 460644.5 550539.7 850509.2 1348924 1735224 1917813 2487375 4099361 5723176 6113862 5195335 3180921 1191912 732590.1 474661.9 449492.4 494665.2 429400.3 542031.3 332135.2 492684.3 342909.3 572629.5 901206.5 670258.5 311291.1 199570.2 314975.6 356345.4 410756.7 552102.9 976258.1 1470050 1389532 1093940 652864.4 504467.3 475037.8 325390.8 355612.4 523312.5 473099 381036.7 321631.7 397752.2 221799.6 487048.9 389844.9 209583.1 210598.5 219233.3 179252.5 188588.3 184714.2 213540.5 270737.3 517476 318141.9 140829.1 128980.5 130482.6 110946.3 112162.5 160004.1 381338.2 185239 139219.7 117161.9 111638.7 210039.7 1089697 375514.4 126307.1 102006.5 97029.65 306731.6 427268.5 156238.3 115223.3 88329.93 93878.91 140691.5 111816.3 107705.4 84074.98 95493.86 100836.1 94711.79 100304.2 66115.87 88382.01 56963.6 74184.49 62767.22 61359.9 66089.93 59019.23 57780.56 58215.43 51188.8 53150.52 50589.42 50026.96 45288.42 49039.41 57243.78 56479.72 58014.49 47558.88 39028.48 36272.26 32264.57 34522.47 31723.78 31254.76 30366.55 28423.29 30562.62 32530.16 31074.83 26645.11 26505.48 34073.43 34296.88 34183.83 32828.61 29731.11 26460.39 28650.79 29628.48 26272.39 31314.39 52435.32 25777.98 34114.05 40070.37 30378.97 53340.29 74792.32 46130.98 53128.34 60691.51 55522.4 78134.27 126243.5 184741.8 do
884834.3 893578.8 908935.1 898048.5 864376.6 841030.9 797261.8 757755 711588.3 647190.9 670998.9 696871 839432.1 1166954 1625429 2177389 2792072 3441357 3771819 4097032 4731031 5316822 6025894 6571943 6774721 6857115 6817501 6657502 6173025 5519472 4960576 4342147 3358003 2383510 1552730 901844 722190.9 864369.3 1077210 1211705 1258391 1143221 996671.7 868606.1 772754.4 720567.3 613194.2 530764.7 528226.1 511878.3 474157.5 488336.8 492195.1 447744.3 445367 438053 363261.4 386790.9 429782.3 342998.9 344557.5 260065.2 136701 198062.2 248207 304392.8 163065.7 302358 263739.7 179144.1 183664.4 398328.4 262964.4 261123 453522.9 1108526 1325906 4236601 4283935 1352554 888135.2 1099106 950533.6 824436.2 240129.6 453623.3 288617.7 312262.8 293537.2 277562.2 313336.9 237050.2 200543.6 163430.9 280931.6 301663.1 229916.3 298478.3 302751 229909.6 620674.5 707639.6 601272.5 234160.7 186950.6 143576.9 168346.4 131964.5 141448.8 144137.4 147249.5 148708.3 130438 114945 140594.8 230785.1 118258.1 156500.7 123886.9 115053.6 116490.6 85222.84 75787.91 69701.81 66719.65 151210.6 79485.16 87119.43 68110.9 73089.1 56326.65 74955.95 83159.3 55501.57 58491.98 70048.54 63295.53 53462.45 50472.59 50784.94 49270.24 49210.49 49616.54 55957.23 51507.51 37411.38 41161.54 39583.04 39379.52 53085.82 65598.94 45888.73 50146.3 48921.42 73157.38 68761.06 37303.4 35705.85 47129.38 59035.65 49158.16 34045.98 45788.85 43088.57 71102.38 48284.48 43757.77 69822.72 54207.46 42774.23 55999.12 41300.22 55041.25 40547.71 43216.15 44832.26 53205.67 49951.57 64722.8 54830.74 65090.29 43152.06 67977.02 52752.39 41853.64 41964.28 48032.28 34893.17 43142.11 47107.44 70364.28 do
1024974 781592.7 568201.5 508939.4 592474.5 741296.7 1069393 1408883 1665864 2086701 2235362 2263130 2037348 1458409 1028810 1351499 2628564 4473995 5434066 6396975 8256850 9926943 11749485 12962592 13251587 13262214 13094044 12847734 12475013 12083366 11711374 11151974 9753131 7919833 5578831 3205894 1808140 1665823 2202203 2090575 1383280 839503.8 932931.4 1264271 1369572 1104663 807589.6 775299.4 723924.5 460520.4 499072.6 1219043 2244960 3181738 3594796 3292604 2082916 747028.9 841630.8 682665.2 541021 909078.4 483855.7 504825.6 608366.4 395190.1 980580.6 1665716 1921056 1223809 457068.1 534638.8 457493.9 520778.4 467713.8 606654.9 959200.7 1906315 1763960 623240.1 272678.8 355559.8 429405.7 351741.4 844349.5 1950600 1971031 935000.1 565809.3 521634.6 423167.1 756385.7 502699.6 333630.2 282137.8 318423.9 534073.2 607508 231312.4 168972.4 223590 487398.4 165677.1 143508.2 167801.4 265135.2 149306.7 139494.3 131162.1 204865.6 70860.06 90105.11 138393.3 90579.95 102218.5 164387.1 90359.69 64114.63 83742.19 103401.5 106803.6 81083.16 80183.99 118315.2 116980 99632.8 72959.7 78848.71 66033.38 83065.93 57897.7 56856.41 61464.19 72541 63450.03 49115.35 59874.33 50413.95 47738.44 57400.83 43615.27 43429.41 52483.02 44483.23 47705.36 50985.83 42780.1 39159.93 44440.94 46184.75 35612.64 36606.41 36380.56 35404.36 31960.38 29012.41 35745.34 25684.51 43205.21 40133.33 33186.51 44853.07 31733.35 57384.11 35270.9 29155.61 56270.17 36134.3 28209.24 26430.82 29023.37 35094 26848.85 36103.39 31449.27 34638.41 25923.06 25237.27 21005.53 25685.46 23696.98 35660.83 33082.89 36076.82 24907.91 26381.71 26519.32 34093.48 38561.09 40205.8 35201.3 do
1013724 990251.3 973205.2 948999.7 927729.7 919941.4 971592.9 1007095 1090391 1249539 1390753 1457638 1460730 1425006 1274568 1044158 862466.7 897283.3 958082.7 1209391 1720306 2281918 3010149 3575870 3774212 3835395 3759922 3556294 3043290 2470103 2175868 2076001 2359228 2804616 3080708 3119866 2835024 2498346 2410859 2301829 1692777 1701813 2940407 5164669 7777419 9139456 8237107 5364355 2536961 1369069 2030230 2504933 2903756 3332751 3120530 2497031 1959147 1572418 1573079 1838707 1758519 1401694 1398707 1678115 1642894 944513.2 344703.1 453769.5 799802.5 628973.4 513426.3 622112.4 674447.2 596897 689420.3 593803.7 207331.4 418111.6 510944.7 378102.1 490855.9 276541.7 600052.5 385517.9 253792.6 741148.5 382290.8 220773.2 174154 239160.8 268822.9 359442.7 98686.36 188430.1 178503.3 227301.8 130456 104612.5 253791.4 245629.1 206928.5 928113.6 358403.7 377602.8 730090.6 545984.3 284332.9 214761.2 154516.9 108196.5 135622.1 129016.5 138644.8 112802.9 105132.9 125172.7 124910 110991.8 91860.72 87232.88 99262.02 68660.33 55099.15 69258.28 65095.88 63910.98 64978.36 77301.64 52005.79 61249.44 57605.68 65031.24 51896.4 57879.72 62887.97 62852.21 52975.28 56337.71 46450.42 32862.2 47398.95 43598.5 47771.96 47848.83 45668.29 45871.46 48869.99 46887.64 46877.56 44940.23 39406.51 37378.3 35016.99 30657.07 52844.76 55182.53 39249.37 45754.36 34699.93 26611.45 31867.37 25487.99 22440.45 30523.18 28428.79 25878.83 24238.62 22737.59 17387.21 25805.32 23059.07 19982.82 24961.77 16563.46 16166.23 14665.33 15925.85 15962.14 14291.12 13145.46 16299.54 13748.35 14120.24 13013.45 11901.69 10736.41 11679.43 12630.48 11828.47 11038.16 9508.126 do
2052270 2162684 2275381 2347699 2439671 2467750 2393503 2344087 2227026 2046408 2031195 2050340 2323739 2937529 3765410 4680807 5600987 6479037 6910192 7284848 7990915 8563712 9009645 9056254 8689728 8042436 7150537 6086472 4459018 3082066 2565108 2310076 2024063 1575431 1114479 1122215 1842950 2451780 2372765 1685831 893027.5 989589.4 1337412 1136180 792127.4 1249019 2130757 2048679 1501629 1545212 2021641 1698429 951497 1457760 2276739 2244655 1578474 995455.5 1118510 1485407 1404074 893071.4 710752 673466.1 652881 483154.8 139397.8 136545.3 324481.3 270248.7 375224.6 313963.2 336713 234935.8 204975.7 387874.4 366379.5 164500.9 131245.2 117133.7 244371.2 234913.5 82716.45 237342.4 341499.8 600003.3 482661.8 227450.5 125237.2 207483.8 355918.5 915506.5 706849 496091.9 307588.7 231743.6 289594 244364.8 97994.09 152343.7 166659.7 914340.1 375510.2 154202 112468.4 183226.1 100782.1 84192.16 140810.2 561222.5 176958.1 123894.2 115620.8 72881.16 79149.22 1235672 489579.9 132099 122939.3 103425.8 99503.74 78213.57 77724.77 103280.3 31833.3 118040.2 150693.9 364014.6 145541.6 90956.86 68415.8 76253.2 57681.49 68496.85 62617.44 54605.98 43521.58 53207.64 54662.56 56718.73 75432.19 61575.16 52320.74 65778.33 49880.7 43628.83 44285.79 44428.01 48359.03 72113.75 61553.56 200249 64935.46 40109.61 39687.1 39559.41 41718.39 66530.91 86882.51 47537.09 42858.76 66762.7 83784.04 57683.71 65987.03 84504.42 60764.65 69965.01 51057.35 63187.48 34180.89 40731.99 68000.66 82545.45 48642.85 88865.55 91059.46 49636.14 49618.22 63319.94 84932.66 44362.25 48470.55 96281.24 76635.07 109641.4 94491.03 90311.15 59701.05 115144.3 178516.2 do
1188748 1213973 1137234 1567409 2584061 3243880 4145350 5004146 5983560 7927355 9825550 10767130 11529558 12901580 13827401 14228712 14072719 13377779 12937496 12214580 10703327 9008171 6664753 4852220 4278586 4038587 3911594 3714743 3166371 2583352 2367603 2359477 2541154 2653347 2441895 2114465 1869763 1721207 1619213 1343396 1062227 1174226 1386022 1362219 1061039 801034.5 830044.9 756154.4 811567.7 1277852 1647944 1292117 641217.8 898072.3 1312475 1064133 591854.8 586520.4 636122.9 550888.7 605762 630771.9 596691.9 519625.9 453801.7 495123.8 573735.8 533965.1 414031.2 381349 514194.3 505363 340485.4 335383 507931.8 392068.9 308457.1 439771.4 326538.7 379619.2 290691.7 298994.1 363032.4 264665.9 513179.5 843405.6 719823.7 402038.7 310641.4 348171.5 369992.8 639544.4 509122.6 290080 243368.6 222284.5 212563.4 278502.6 375982.2 348447.6 462000.8 213327.6 213794.5 206578.1 221075.5 175034.8 129732.3 232337.1 190888 744143.3 378346.1 255020.8 301414.9 278317.6 288138.6 835623.5 327619.7 182904.9 150093.1 159047.1 109972.3 162710.2 180612.8 303144.2 111660 116545.3 89526.15 87414.56 135797.1 267928.5 135717 120661.7 125162.3 149962.9 79680.93 77816.83 84960.59 90458.62 95059.18 150700.5 95795.43 109947.3 60765.75 57526.68 67253.89 65033.48 64387.49 110411.2 78682.89 62090.45 53014.09 49125.35 90290 158400.5 59914.26 46439.11 46144.98 77681.45 68206.35 70460.53 72919.8 95305.39 83215.66 129767.6 42871.76 60797.62 40211.61 95230.79 99239.7 110858.5 155997.5 181388 57091.33 49279.81 131701 67456.81 86781.51 155443 205988.9 157224.4 84719.58 143872.3 102843.2 73534.53 75018.78 142034.9 85601.16 127426.6 186970 61973.17 101578.7 do
87300.42 68364.88 51301.16 48243.91 57664.4 71249.7 99678.06 128452.4 152235 192993 214526.9 221890.2 213771.4 194837.5 174154.8 175461.5 209855.5 266457.4 298959.1 318637.9 342493 322426.5 228096.1 222539.5 384079.8 643283.1 923347.1 1192441 1502856 1705819 1727516 1666319 1422231 1096138 744288.1 463398.3 386594.5 382071.1 360104.9 273083.8 159371.3 184470.6 320060.3 519606.1 759317.2 871373.1 743207 585890.5 711596.2 939283.5 964317.3 764503.3 787340.9 1078867 1193717 973676.6 482152.6 220746.7 318335.7 247948.6 222966.1 237512 211911.4 135111.3 201963.7 243632.2 596366.3 1449670 1618033 797416.5 434663.2 361861.8 188455.6 209217.3 340251.5 248948.6 879434.4 1714406 1335956 384004.9 295773.6 301283.5 475074 681120 1147944 1866776 1001426 291664.3 302397.7 438701.3 784784.9 1374790 920008.1 572091.1 621045.7 180079.7 801857.5 995183.2 185708.3 173845.5 255734.7 805018.4 396423.6 183543.7 224948.8 256318.6 368532.1 295268.4 235756.4 194947.4 245324.3 142588.2 207913.5 199107.3 351477.1 695707.3 522972 177495.4 176309.1 135447.5 153505.7 143670.9 101340.4 200199.9 349076.3 285679.6 271041.5 119614.5 164285.7 166245.6 210370.6 185161.1 110648.3 127061.1 96163.45 41237.69 41243.25 66328.88 160299.2 102035.5 140158.7 111850.6 70363.91 32859.79 38979.17 73086.42 129593.4 77150.58 85077.53 30770.9 31961.83 29552.02 78806.29 88157.47 93610.16 41697.21 45533.19 47648.81 87154.65 64663.41 32336.08 48579.82 51344.49 39729.66 76930.39 47372.68 55668.94 28653.4 53812.39 33703.07 52186.33 40128.22 40002.78 25210.02 33375.42 41356.94 36118.86 52202.55 36113.09 24076.09 44675.93 37950.85 51049.11 48201.54 32824.94 42813.33 63132.47 31995.53 45513.24 74004.85 106545.8 do
972995.2 1206606 1415348 1688059 2221321 2495068 2723075 2967872 3128826 3389785 3475230 3487478 3376014 3107211 2709632 2250748 1822648 1519738 1391389 1384746 1378046 1409846 1405631 1429139 1577263 1855014 2205703 2540555 2802159 2807710 2579680 2234311 1715580 1397181 1524153 1722913 1666678 1194661 632686.7 502449.6 867445.7 1224965 1251535 1045216 666103.3 333317.1 267430.7 526775.5 888923.3 1249876 1526935 1614871 1673282 1863601 2024624 1906864 1393370 721158.5 534709.8 656334.4 639980.2 410818.2 145124.6 186479.2 431609 790918.2 1215423 1636956 1737296 1257785 729597.9 383580.1 379208.5 417052 314820.6 326364.8 374650.8 511553 690418.1 512730.1 248549.9 146765.8 156682 141577.1 203181.7 1003895 648476.9 366403.5 227520.4 215683.1 306507.5 727855.6 276139.8 173806.3 126657.6 127402.5 127340.9 105751.3 99405.96 142955.1 201018.7 528649.4 186781.6 97254.98 105973.7 150072.7 117340 114735.2 134978.1 329909 79371.72 68835.29 62899.79 70874.09 71813.67 159518.3 133009 55377.85 59672.91 54924.6 71111.95 54422.77 69773.01 55940.89 56092.1 145222.6 56974.63 43064.09 41556.2 54252.23 33317.3 33628.9 38448.89 35185.45 26517.94 42719.7 31358.53 33352.23 38159.74 82000.72 47831.9 39883.49 32155.02 32268.09 33387.68 26722.12 32153.85 30380.72 33680.11 37950.41 24216.29 22795.17 40408.64 40486.69 36997.77 26419.42 44052.91 52450.35 33958.02 25592.21 26625.16 44405.79 77075.69 69666.74 35773.25 41804.84 60963.02 35964.51 34030 75896.59 59651.48 48881.76 40813.19 43431.61 32725.82 49880.08 46983.92 49751.21 31051.21 71659.46 27887.63 30498.91 54728.05 45548.74 40013.32 67347.09 84229.76 33090.45 50633.19 90755.55 114687.9 do
484564.2 408411.6 337947.6 294982.4 278458 289633.7 377195.3 461267 533218.3 647501.4 679317.5 680415.8 615982.7 466931 315402.2 300570.7 448713.3 687879.7 810508.5 874486.1 957759.8 912342.1 581298.5 383141.2 606390 1126462 1680565 2193395 2768773 3151183 3220456 3164108 2850843 2400900 1813546 1199462 638612.2 329779.2 460849.7 653339.6 753751.2 715959.9 651270.5 574448.8 445423.1 274730.6 275406 563293.9 781276.2 753316.2 526439 1068253 2428156 3478032 3602321 2930064 1656962 553566.9 628739.1 595425.8 276241.5 441287 390653.7 267278.6 533739.7 440648.2 904227.4 1924984 2109640 1051525 429917.9 411713.8 349870.3 411162.3 438869 681380.6 1220831 2930265 1845431 418280.8 451638.9 1810778 1411293 211562.3 323442.1 2411173 2121246 675237.7 499827.8 396437.9 383409.4 1271798 900002.6 389102.2 319312.4 277038.2 252908.8 461154.3 847435.6 1843688 434077.5 1186852 461007.9 234971.2 238936 830411.6 365764.2 202804.8 617994.9 1857054 607844.6 439078.5 196067.6 171972.1 130093.7 338756.5 238538.2 161045 140338 124430.6 163472.6 217707 218761.4 824392.9 113451.2 323861.9 118310.8 79077.87 68021.57 147962.7 85775.55 91677.46 134477 578243 135711.7 63144.85 60876.56 59402.03 62396.02 234053.4 169842.2 526498.5 52940.33 39193.26 86712.55 91035.37 103616.9 659996.5 111914.5 169249.5 49516.66 39388.89 111356.3 63812.45 25365.02 18987.88 17620.87 166860.8 39554.45 25864.93 45485.59 81146.21 31997.68 24241.05 22515.38 42247.79 24089.29 16788.11 42911.58 20684.67 17555.29 38443.48 16753.91 15086.49 18078.3 14076.71 13629.42 13287.47 12707.45 12761.92 11319.34 11662.2 11016 10700.34 10340.57 10007.85 9855.98 9367.806 9254.687 9004.681 8567.463 do
237395.3 249155.2 262740 268919 277758.1 280299.6 276292.6 273800.5 266057 249682.1 231336.3 221719.4 216695.2 211239.6 217114 231158.3 246057.9 253748.2 256232.5 248560.3 229370.5 202041.4 188068.8 214131.8 261346.7 306096.4 332842.4 332611.6 271869.1 190316.7 168229.5 200325.6 308228.4 399004.2 389312.3 313290.8 215062.4 263642.9 421245.2 526866.8 528586.1 378453 256569.9 287063.4 423179.1 501602.3 476658.2 483463.6 551354.1 590707.9 589513.7 618513.9 684337.6 723784.3 757261.7 812855.7 863066.9 923303.2 1006281 1055823 1074309 1128226 1183108 1240405 1293263 1283162 1320143 1267678 1039422 1006572 967013.8 822979 730276.1 601421 546852.3 522355.5 610021.7 836517.1 719275.1 600317.9 570358.7 479860.5 383012.1 370956.3 373179.3 725896.2 722748.2 471473.6 403265.7 347346.7 451213.9 1686028 1178210 280910.2 343368.3 414796.2 354799 252620.8 341565 353854.5 366958.3 1258923 408337.6 225082.7 252740.8 399771.4 261072.1 164902.9 129441.5 475998.8 249251.9 123443.4 104906.4 130028.7 203987.3 588338.2 194759.1 80467.65 88204.81 98694.67 62117.2 98784.2 85873.05 114213.2 183162.2 727689.3 128067.1 59621.33 46010.07 178450.8 53811.3 31703 34756.86 94084.32 78726.27 72773.43 35758.04 39163.25 77932.47 522408 101061 112099.3 19461.42 24060.11 29206.78 18226.89 29949.77 89021.24 38164.97 91837.85 16197.78 12204.74 32228.53 86453.39 17075.94 9673.954 19069.56 71101.79 40908.88 28585.46 25599.03 44134.54 19494.93 74349.25 18257.45 52233.52 31993.77 14766.66 19860.3 9412.143 11350.42 38943.63 10176.21 9511.824 25212.61 21900.14 14353.54 22036.25 19269.26 14603.42 13592.05 10736.42 9050.27 11271.29 15988.82 10211.86 9151.908 14382.35 14094.51 15434.27 9771.227 do
